Pais,Cluster,PIB_per,Poblacion,Esperanza.vida,Acceso.electricidad,Area.boscosa,Suscripciones.movil,Crecimiento.PIB,Mortalidad.infantil,Inversion.extranjera,Gasto.salud,Uso.internet,Importaciones,Exportaciones,Tierra.cultivable,Crecimiento.poblacion,Industria,Remesas
Bangladesh,3,2716.48592780431,169384897,74.265,99.4,14.458774758176,109.867,7.09982877575158,24.4,0.355308723397177,2.39038587,41.6165,20.897740835675,12.8822264348985,60.7838169814218,1.02423384746683,33.9200804971876,4.6737649876073
Belarus,1,7994.64806074889,9228071,74.1033658536585,100,43.3351396620523,128.315,-4.65839591573585,2,2.17745011943276,6.65919876,89.5073,56.973020682251,63.0511868938428,27.617123996256,-0.804228426880244,33.0290955450834,2.01552933186967
Belgium,1,50822.2518538518,11680210,81.7487804878049,100,22.604446776415,101.68,4.2593607365269,3.1,2.00046456440554,10.76192474,94.0078,96.6998485924956,95.2395955015917,28.3186856430773,0.808165350001861,19.5139703801863,2.34654552980991
Belize,2,7068.45478269722,402733,72.19,98.6,55.0078912757563,67.175,9.65297772389758,10.9,4.9498706439243,4.23173904,71.8096,55.2569642041662,53.2722099272842,4.38404208680403,1.85124805102003,15.430147187972,5.00287535464959
Benin,3,1266.42710981159,13759501,60.475,56.5,26.9169031571479,105.745,6.25294705373625,47.7,2.15770537565076,2.67981386,30.0134,23.5662628402967,20.8153300474458,31.4468987229514,2.54740926342667,17.017826707817,1.43702897415825
Bhutan,1,3711.32767981591,780914,72.754,100,71.5521761929733,95.1298,5.21386783786224,19.1,0.289904655137253,4.38545895,86.2903,60.0723765638263,25.4988399587876,2.58259045621395,0.703183917780367,31.8248447380802,3.31086657464961
Bolivia,1,3643.92826984604,12077154,67.434,99.9,46.5396883596418,101.572,3.60568042633635,20.7,0.0141722868393946,8.43142891,67.3612,35.1443439153378,32.6115548527874,5.13483577956245,1.16425907336882,26.2017588810386,3.31578734598445
Bosnia and Herzegovina,1,7655.59421024383,3204802,76.777,100,42.7326171875,118.944,4.22681101095546,5.5,3.7882728069108,8.71644783,78.8455,61.8988653103961,48.307102350834,7.36328125,-1.24363802761194,24.663249794412,10.5208784489857
Botswana,2,8328.70905682185,2439892,68.749,75.9,26.4995676953752,178.205,5.48601706446772,39.2,3.49204705183736,5.72838593,80.3696,42.0680959802285,43.5436117786863,0.458772254865633,1.58848021878269,37.457129713918,0.306272176465236
Brazil,1,9281.33334441234,210306415,74.872,100,59.1275092305226,101.245,3.01669435393015,12.6,3.8221961533297,9.14277458,80.5278,19.1853009729027,19.6307650034371,6.65722277923079,0.360180890872169,22.819456851691,0.25481314242508
